"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2016,279,247,32,0,0,0,0,87,51,37,0,0,219,0,60,0
"Alabama","Clay",2016,116,109,7,0,0,0,0,56,45,30,0,0,0,0,116,0
"Alabama","Colbert",2016,282,258,23,1,0,0,0,115,50,38,0,0,214,0,68,0
"Alabama","DeKalb",2016,348,304,43,1,0,0,0,119,54,40,0,0,319,0,29,0
"Alabama","Elmore",2016,117,107,10,0,0,0,0,77,48,40,0,0,117,0,0,0
"Alabama","Etowah",2016,352,162,184,3,3,0,0,179,67,52,0,0,101,0,251,0
"Alabama","Houston",2016,280,265,15,0,0,0,0,97,48,35,0,0,213,0,67,0
"Alabama","Jefferson",2016,366,190,166,8,1,1,0,271,77,50,0,11,142,1,209,3
"Alabama","Lawrence",2016,48,47,1,0,0,0,0,58,37,21,0,0,0,0,48,0
"Alabama","Madison",2016,337,284,52,1,0,0,0,122,55,40,0,0,233,0,47,57
"Alabama","Mobile",2016,366,277,87,2,0,0,0,139,58,41,0,0,124,9,233,0
"Alabama","Montgomery",2016,363,285,76,1,1,0,0,170,58,42,0,0,161,0,202,0
"Alabama","Morgan",2016,365,304,59,2,0,0,0,107,55,40,0,0,205,0,160,0
"Alabama","Russell",2016,257,192,65,0,0,0,0,100,61,43,0,0,173,0,84,0
"Alabama","Shelby",2016,244,205,35,4,0,0,0,133,61,41,0,0,244,0,0,0
"Alabama","Sumter",2016,336,315,21,0,0,0,0,70,47,34,0,0,183,0,153,0
"Alabama","Talladega",2016,117,99,18,0,0,0,0,79,52,35,0,0,0,0,117,0
"Alabama","Tuscaloosa",2016,365,224,141,0,0,0,0,100,59,47,0,0,90,0,275,0
"Alaska","Aleutians East ",2016,48,48,0,0,0,0,0,26,17,8,0,0,0,0,48,0
"Alaska","Anchorage ",2016,361,288,73,0,0,0,0,90,59,31,0,0,0,0,225,136
"Alaska","Denali ",2016,356,355,1,0,0,0,0,54,41,33,0,0,356,0,0,0
"Alaska","Fairbanks North Star ",2016,366,213,94,35,24,0,0,180,126,37,0,3,133,1,212,17
"Alaska","Juneau ",2016,305,255,50,0,0,0,0,89,58,20,0,0,0,0,297,8
"Alaska","Kenai Peninsula ",2016,51,51,0,0,0,0,0,22,13,5,0,0,0,0,51,0
"Alaska","Matanuska-Susitna ",2016,366,298,64,4,0,0,0,128,61,33,0,0,244,0,92,30
"Arizona","Apache",2016,366,364,2,0,0,0,0,54,24,13,0,0,0,0,24,342
"Arizona","Cochise",2016,366,281,83,2,0,0,0,141,61,44,0,0,319,0,3,44
"Arizona","Coconino",2016,366,303,63,0,0,0,0,97,58,44,0,0,366,0,0,0
"Arizona","Gila",2016,366,83,136,120,27,0,0,200,138,85,0,0,79,263,0,24
"Arizona","La Paz",2016,365,294,70,1,0,0,0,101,67,41,0,0,289,3,37,36
"Arizona","Maricopa",2016,366,59,270,36,0,1,0,203,101,64,0,30,184,0,79,73
"Arizona","Mohave",2016,357,338,19,0,0,0,0,83,38,18,0,0,0,0,23,334
"Arizona","Navajo",2016,366,301,65,0,0,0,0,90,54,43,0,0,352,0,0,14
"Arizona","Pima",2016,366,201,161,4,0,0,0,119,74,49,0,0,240,0,15,111
"Arizona","Pinal",2016,366,76,237,46,5,1,0,1263,108,69,0,0,102,0,37,227
"Arizona","Santa Cruz",2016,363,260,102,0,1,0,0,191,62,38,0,0,0,0,212,151
"Arizona","Yavapai",2016,344,295,49,0,0,0,0,90,54,41,0,0,344,0,0,0
"Arizona","Yuma",2016,366,228,124,12,1,0,1,419,77,46,0,0,203,0,45,118
"Arkansas","Arkansas",2016,119,100,19,0,0,0,0,70,54,33,0,0,0,0,119,0
"Arkansas","Ashley",2016,118,102,16,0,0,0,0,68,52,34,0,0,0,0,118,0
"Arkansas","Clark",2016,355,351,4,0,0,0,0,54,45,34,0,0,355,0,0,0
"Arkansas","Crittenden",2016,366,314,49,2,1,0,0,159,54,39,0,17,303,0,46,0
"Arkansas","Garland",2016,119,97,22,0,0,0,0,67,53,36,0,0,0,0,119,0
"Arkansas","Jackson",2016,115,94,21,0,0,0,0,76,57,30,0,0,0,0,115,0
"Arkansas","Newton",2016,365,353,12,0,0,0,0,90,46,36,0,0,363,0,2,0
"Arkansas","Polk",2016,365,318,47,0,0,0,0,87,52,40,0,0,324,0,41,0
"Arkansas","Pulaski",2016,366,257,109,0,0,0,0,100,60,44,0,4,163,0,199,0
"Arkansas","Union",2016,366,341,24,0,1,0,0,158,46,4,0,0,0,246,120,0
"Arkansas","Washington",2016,366,338,28,0,0,0,0,77,49,38,0,0,323,0,43,0
